DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130210,464.8999977112,1399.6000080108000,94.12999996185,359.0,27.07999985219,62.859999910600000,29.91899980926,998.29999911789,47.650000010731,35.8530001907,9368.0,432.45200012300000,6920.0,33360.0,1949.0,5460.0,10283.0,1.0,4500.0,,,,,,,,,,,2.0,120.0,99.0,853.0,628.0,0.0,88.0,14640.0,31740.0,17100.0,97.0,
20130211,105.0,1443.2000007625000,110.48999961850000,336.0,30.80000004768,63.060000000002,22.17899997616,1577.3999996185,39.9299997139,29.553000000000000,10634.0,362.889000695,9333.0,36000.0,1143.0,3240.0,13841.0,1.0,3600.0,,,,,,,,,,,1.0,50.0,82.0,1028.0,386.0,0.0,66.0,7140.0,18470.0,11330.0,57.0,
20130212,160.0,1687.6000061038,114.120000004769,366.0000009537,37.640000021458,75.20000023841,40.659999976162,2836.500030518,37.160000011325000,37.7,15056.0,777.7459998860000,10883.0,32880.0,1102.0,4680.0,16083.0,2.0,9000.0,,,,,,,,,,,3.0,200.0,16.0,257.0,477.0,0.0,12.0,15300.0,27660.0,12360.0,95.0,
20130213,196.0,1749.000015259,151.580000221747,270.0,37.18000004292,94.94399997591800,26.821800196167,3172.900001526,47.713999995966500,47.707400363717,9676.0,328.584000125,8058.0,40200.0,1409.0,4380.0,11960.0,1.0,3600.0,,,,,,,,,,,2.0,140.0,69.0,282.0,390.0,0.0,65.0,8139.0,19449.0,11310.0,62.0,
20130214,0.0,1493.100000763,151.47000021223,282.0,23.040000021457000,70.470000029802,36.029999964196,1477.90000047684,29.630000023840000,41.900000035766,9529.0,282.9209056628,9061.0,35280.0,654.0,6420.0,13387.0,1.0,2700.0,,,,,,,,,,,3.0,200.0,70.0,2231.0,384.0,1.0,54.0,11038.0,18298.0,7260.0,67.0,
20130215,60.0,570.0,57.51999998093,0.0,13.70000014305,14.080000162120000,7.32000007629,157.0,23.32000005245,27.10000009537,3449.0,125.396999847,4445.0,41640.0,656.0,7080.0,6563.0,0.0,0.0,,,,,,,,,,,1.0,50.0,87.0,964.0,451.0,0.0,76.0,14587.0,21896.0,7309.0,80.0,
20130216,390.0,1530.25,105.64000021690900,346.0,32.870000070333,66.730000337342,27.069000024278,1915.50000095,34.839999978546000,50.79650003728,5782.0,214.559999384,7689.0,36600.0,1361.0,4740.0,11203.0,0.0,0.0,,,,,,,,,,,1.0,50.0,33.0,1227.0,579.0,1.0,29.0,20359.0,32359.0,12000.0,100.0,
20130217,284.71428585052,1476.1428585052,75.17142862081500,405.0,25.885714310408000,74.17142862081500,39.042857195437,1339.5,23.242857150733000,46.7,10529.0,317.187000081,7492.0,37140.0,1277.0,4860.0,11068.0,1.0,4800.0,,,,,,,,,,,3.0,200.0,254.0,759.0,533.0,0.0,243.0,10862.0,16862.0,6000.0,56.0,
20130218,120.0,1054.1000003815,83.740000426791,116.7000007629,21.589999938010000,42.302001252761,24.6907001130372,1267.87500763,31.760000064969,23.8923005949623,7293.0,313.923999501,6847.0,40320.0,1294.0,9240.0,10158.0,1.0,2400.0,,,,,,,,,,,2.0,120.0,133.0,1209.0,541.0,0.0,116.0,16981.0,24540.0,7559.0,89.0,
20130219,140.0,1601.7800075531,102.9549999881,180.78000070568000,27.907999882706,76.81100150443,37.734800179791000,1964.83701219546,41.39900007785,52.257000294893000,13464.0,753.993000178,8570.0,36900.0,932.0,9840.0,12755.0,2.0,8100.0,,,,,,,,,,,2.0,120.0,123.0,1983.0,486.0,2.0,111.0,13208.0,20540.0,7332.0,76.0,
20130220,357.0,1548.1769895554,138.92262609008,405.03999996185,30.222374308109,75.74721588016500,32.959590291510000,2842.41269922252,52.30259032245600,38.647374140255000,10405.0,360.47599934,9185.0,33720.0,1240.0,4020.0,13432.0,1.0,3600.0,,,,,,,,,,,3.0,200.0,78.0,1439.0,457.0,0.0,67.0,12780.0,22647.0,9867.0,78.0,
20130221,173.99999952316,1268.2734394069,82.23992574213000,106.51999998093,21.911919409039,45.690335333345,34.7730543300485,1187.97642254829,24.238254427913,49.5895206168357,8898.0,305.83899913,6889.0,39960.0,889.0,9660.0,10136.0,1.0,3600.0,,,,,,,,,,,2.0,120.0,77.0,1728.0,461.0,1.0,66.0,16274.0,22735.0,6461.0,84.0,
20130222,245.9999980927,951.2856297493000,57.847116684928,87.29999995232,18.049612915514,41.821723484993000,23.7154364634904,815.90094640848,21.801836156841,26.7678127042361,10636.0,541.282000154,6769.0,39300.0,789.0,6180.0,9715.0,1.0,6300.0,,,,,,,,,,,1.0,50.0,89.0,1263.0,433.0,1.0,73.0,11654.0,20414.0,8760.0,69.0,
20130223,129.9999980927,1467.6500066755,126.40883377556,190.77999997139,29.928333336108000,75.11983344264500,39.229000290144900,2591.80833187514,33.76666681767,31.7894000534362,18621.0,836.19299911,10392.0,33600.0,1738.0,5220.0,15411.0,1.0,13500.0,177.0,707.0,551.0,0.0,166.0,16740.0,22447.0,5707.0,83.0,,1.0,70.0,114.0,1613.0,137.0,0.0,92.0,480.0,1440.0,960.0,4.0,
20130224,683.99999904633,1523.2000408170000,144.86700025559,312.1000061035,42.23999984265000,55.3980016899,29.86179985083,1905.70002747,35.822999975684,44.22070163389,11263.0,323.63781561400000,7570.0,37560.0,2023.0,6540.0,11163.0,1.0,5400.0,,,,,,,,,,,1.0,50.0,195.0,0.0,555.0,0.0,195.0,0.0,21634.0,0.0,0.0,
20130225,207.0,1431.2368125912,83.22490677926,404.92000055293,18.509898981448,63.961920072986000,50.211318263990000,2026.61428868855,33.407817678483,41.14989974882,13591.0,524.318999459,9055.0,36900.0,958.0,4140.0,13344.0,2.0,7200.0,,,,,,,,,,,2.0,100.0,105.0,1287.0,474.0,1.0,89.0,14522.0,21925.0,7403.0,78.0,
20130226,389.0,1360.6145381927,92.008272230607,174.30000209810000,28.516599342227,70.57261228564500,32.94454625249,2006.6261944771,29.00687900181,38.863766938456000,9088.0,326.0529991389,9065.0,36300.0,903.0,7620.0,12963.0,1.0,2700.0,,,,,,,,,,,2.0,120.0,102.0,1653.0,506.0,1.0,91.0,16380.0,23288.0,6908.0,86.0,
20130227,276.0,1344.5745449065,88.59343729024,370.38800001144,22.925599277009,64.35851090547400,36.65044501729,1508.07784724255,38.938545131688,45.898266197686,5898.0,214.282999679,7695.0,35580.0,2806.0,8040.0,11293.0,0.0,0.0,,,,,,,,,,,1.0,60.0,121.0,5208.0,459.0,2.0,44.0,12353.0,19911.0,7558.0,68.0,
20130228,475.0,1375.3200130468000,100.24866695707600,151.60000038147,28.533333539957,75.221333243854,31.8177000692493,1572.5666790015,38.51799976348,32.186600324033,9743.0,337.33050953890000,9294.0,37500.0,839.0,8040.0,13719.0,1.0,2700.0,,,,,,,,,,,1.0,50.0,93.0,1318.0,422.0,0.0,72.0,10631.0,19931.0,9300.0,66.0,
20130301,470.0,1124.5692863463,72.285434103,90.7000007629,18.578985583783000,47.7779714346,37.220739542513,729.168130874,31.45449275971,28.439210864740000,6446.0,235.660000183,8514.0,32340.0,857.0,2940.0,12440.0,0.0,0.0,,,,,,,,,,,1.0,50.0,89.0,3821.0,388.0,1.0,53.0,9060.0,17280.0,8220.0,58.0,
20130302,332.0,1724.9200086593,114.8639999291,339.0,20.359999996421,102.728000339502,45.306499788499900,2831.90000004,60.646000332545,35.230300223828000,5478.0,194.619999627,6850.0,38220.0,688.0,4920.0,10228.0,0.0,0.0,,,,,,,,,,,2.0,120.0,45.0,0.0,525.0,0.0,45.0,0.0,28792.0,0.0,0.0,
20130303,124.0,1485.7700645445000,78.66500136845,472.000008464,19.22500039101,72.75000317097000,45.26050093463,1102.100036621,26.72500005841,47.1980015259,13297.0,753.252999347,8146.0,33960.0,1112.0,4380.0,12002.0,1.0,7920.0,,,,,,,,,,,1.0,50.0,93.0,1397.0,531.0,0.0,71.0,16680.0,26387.0,9707.0,93.0,
20130304,324.0,1282.9460201259,116.69320015189,441.7879998085230,21.79760014416,72.095400228502,29.53849974874830,2340.000402689020,59.15099978092100,26.81219999813850,12175.0,554.9159995,10979.0,31080.0,1282.0,3540.0,16108.0,1.0,5100.0,,,,,,,,,,,2.0,120.0,92.0,1530.0,451.0,0.0,81.0,14580.0,21780.0,7200.0,80.0,
20130305,275.8985519409,1204.2330875396,84.65632482765700,428.4323339685640,21.145814543959000,69.25954804360900,24.22774937885490,1506.213402032930,36.25240596891,23.6983101055411,13851.0,783.6980002610000,9738.0,33180.0,914.0,4080.0,14188.0,1.0,7800.0,,,,,,,,,,,1.0,50.0,68.0,776.0,431.0,0.0,56.0,13395.0,21864.0,8469.0,78.0,
